name,company,city,state,country,address,state_clean
Quincy,Vantage Data Centers,Quincy,Nebraska,United States,2101 M St NE 98848-9813 Quincy USA,NE
Quincy 2,Microsoft,Quincy,Washington,United States,Port Industrial Way 98848 Quincy United States,WA
Quonix Networks,Quonix Networks Inc.,Philadelphia,Pennsylvania,United States,2401 Locust St. 19103 Philadelphia United States,PA
RACK59 Data Center,RACK59,Oklahoma,Oklahoma,United States,7725 W Reno Avenue 73127 Oklahoma City United States,OK
Raleigh,Flexential,Morrisville,North Carolina,United States,5150 McCrimmon Pkwy. Suite 423 NC 27560 Morrisville United States,NC
Raleigh,TierPoint,Raleigh,North Carolina,United States,5301 Departure Dr 27616 Raleigh USA,NC
Raleigh,vXchnge,Durham,North Carolina,United States,4518 S Miami Blvd 27703 Durham USA,NC
Raleigh,OnRamp,Raleigh,North Carolina,United States,"8020 Arco Corporate Dr, Suite 310 27617 Raleigh USA",NC
Raleigh (Departure Drive),CenturyLink,Raleigh,North Carolina,United States,5301 Departure Dr NC 27616 Raleigh United States,NC
Raleigh-Cary,TierPoint,Cary,North Carolina,United States,111 Corning Rd 27518 Cary USA,NC
Raleigh-Durham,CyrusOne,Durham,Nebraska,United States,NE Creek Pkwy 2223 27713 Durham United States,NE
Raleigh-RTP,TierPoint,Durham,North Carolina,United States,99 TW Alexander Dr 27709 Durham United States,NC
Razor Data Center,Razor Servers,Philadelphia,Pennsylvania,United States,"1309 Noble Street, Suite 100 19123 Philadelphia United States",PA
RCN Metro 56 Roland,"RCN Telecom Services, LLC",Boston,,United States,"56 Roland St, 2nd floor 2129 Boston United States",MA
Redwood City,Brookfield Infrastructure Partners LP,Redwood,California,United States,3175 Spring St 94063-3928 Redwood City USA,CA
RelyNet Data Center,RelyNet Inc.,Rancho,California,United States,2999 Gold Canal Rd. 95670 Rancho Cordova United States,CA
Remington Technology Park,PointOne Developments Ltd.,Remington,Virginia,United States,Lucky Hill Rd 22734 Remington USA,VA
Reno,Switch,Sparks,Nevada,United States,USA Pkwy 89434 Sparks USA,NV
Reston,Expert Colocation,Reston,Virginia,United States,Sunrise Valley Drive Reston VA 20191 Reston United States,VA
Reston,Flex Data Center,Reston,District of Columbia,United States,11513 Sunset Hills Rd 20190 Reston USA,DC
Reston 1,CoreSite,Reston,District of Columbia,United States,12100 Sunrise Valley Drive 20191 Reston United States,DC
Reston 1,Zenlayer,Reston,District of Columbia,United States,12098 Sunrise Valley Dr 20191 Reston USA,DC
Reston 2,CoreSite,Reston,District of Columbia,United States,12100 Sunrise Valley Drive 20191 Reston United States,DC
Reston 2,Zenlayer,Reston,District of Columbia,United States,12100 Sunrise Valley Dr 20191 Reston USA,DC
Reston 3,CoreSite,Reston,District of Columbia,United States,12100 Sunrise Valley Dr 20191 Reston USA,DC
Richardson,Cisco,Highway,Texas,United States,2200 East President George Bush Highway TX 75082 Richardson United States,TX
Richmond,EdgeConneX,Richmond,Virginia,United States,"1450 E Parham Road, Suite 1450 VA 23228 Richmond United States",VA
Richmond,Flexential,Richmond,Virginia,United States,"8801 Park Central Drive, Suite B 23227 Richmond United States",VA
Richmond,"Windstream Services, LLC",Glen,Virginia,United States,4551 Cox Rd 23060 Glen Allen USA,VA
Richmond,Quality Technology Services (QTS),Sandston,Virginia,United States,6000 Technology Blvd 23150-5000 Sandston USA,VA
Ridge Lea,CenturyLink,New,New York,United States,4252 Ridge Lea Rd. 14226 New York United States,NY
Rochester,CentriLogic,Rochester,New York,United States,28 Mansfield Street 14606 Rochester United States,NY
Rochester (Chestnut Street),FirstLight,Rochester,New York,United States,100 Chestnut St 14604 Rochester USA,NY
Rochester (Exchange Street),FirstLight,Rochester,New York,United States,1 Exchange Blvd 14614-2002 Rochester USA,NY
Rochester (Fitzhugh Street),Frontier Communications Corporation,Rochester,New York,United States,95 Fitzhugh St N 14614-1212 Rochester USA,NY
Rochester (Mile Crossing Boulevard),CenturyLink,Rochester,New York,United States,150 Mile Crossing Blvd 14624-6209 Rochester USA,NY
Rock Hill,Immedion,Parkway,South Carolina,United States,471 Lakeshore Parkway SC 29730 Rock Hill United States,SC
Rockland Data Center,ColoSpace,Street,Massachusetts,United States,1050 Hingham Street MA 02370 Rockland United States,MA
Rockledge,ndtArtemis,Drive,Florida,United States,5430 Village Drive FL Rockledge United States,FL
Rockville,Greencourt Group,Parklawn,New York,United States,12358 Parklawn Drive Rockville United States,NY
Rocky Mountain Research Data Center,University of Colorado,Boulder,Colorado,United States,80309 Boulder USA +1 (303) 735-6637,CO
RockyNet Inc. Boulder,RockyNet Inc.,Louisville,Colorado,United States,382 S. Arthur Ave 80027 Louisville United States,CO
RockyNet Inc. Denver,RockyNet Inc.,Denver,Colorado,United States,1050 Seventeenth Street 80265 Denver United States,CO
Romulus (Seneca Army Depot),FirstLight,Romulus,New York,United States,Seneca Army Depot 14541 Romulus USA,NY
RT 3811,"RT Software Systems, Inc.",Berkley,Michigan,United States,3811 West 12 Mile Road 48072 Berkley United States,MI
Rubicon Data Centers,Rubicon Data Centers,Reno,Nevada,United States,Reno NV Reno United States,NV
Rutherford,Facebook,Road,North Carolina,United States,"284 Social Circle, Old Caroleen Road NC 28043 Forest City United States",NC
Sacramento,EdgeConneX,C-300,California,United States,"10980 Gold Center Drive, Building C, Suite C-300 CA 95670 Rancho Cordova United States",CA
Sacramento,Quality Technology Services (QTS),Blvd,California,United States,1100 North Market Blvd CA 95834 Sacramento United States,CA
Sacramento,CenturyLink,West,California,United States,1075 Triangle Ct 95605-2778 West Sacramento USA,CA
Sacramento (AK Street),Prime Data Centers,McClellan,California,United States,2407 Ak St 95652-2529 McClellan Park USA,CA
Sacramento 1,RagingWire,Ave,California,United States,1200 Striker Ave CA 95834 Sacramento United States,CA
Sacramento 2,RagingWire,Ave,California,United States,1312 Striker Ave CA 95834 Sacramento United States,CA
Sacramento 3,RagingWire,Sacramento,California,United States,1625 W National Dr 95834 Sacramento USA,CA
SafeHouse Datacenter,SafeHouse Datacenter,Fort,Indiana,United States,9813 Dawson Creek Blvd 46825 Fort Wayne United States,IN
Sago Networks Atlanta,"SAGO Networks, LLC.",Norcross,Georgia,United States,4311 Communications Drive 30093 Norcross United States,GA
Sago Networks Tampa,"SAGO Networks, LLC.",Tampa,Florida,United States,4465 W. Gandy Blvd 33611 Tampa United States,FL
Salt Lake City,XO Communications,Sandy,Utah,United States,"8871 Sandy Pkwy W, 1st floor 84070 Sandy USA",UT
Salt Lake City,CenturyLink,Salt,Utah,United States,5035 Harold Gatty Dr 84116 Salt Lake City USA,UT
Salt Lake City Metro Data Center,Fibernet,Orem,Utah,United States,1145 South 800 East 84097 Orem USA,UT
San Angelo POP,Crown Castle,San,Texas,United States,7 W Twohig Ave 76903 San Angelo USA,TX
San Antonio,Microsoft,San,Texas,United States,5150 Rogers Road 78251-3660 San Antonio United States,TX
San Antonio,Nugget Networks,Ctr,Texas,United States,5128 Service Ctr TX 78218 San Antonio United States,TX
San Antonio,XO Communications,San,Texas,United States,5308 Distribution Dr 78218 San Antonio United States,TX
San Antonio,SiteB Data,San,Texas,United States,911 N Frio St 78207-1809 San Antonio USA,TX
San Antonio (Ramsey Road),CenturyLink,San,Texas,United States,214 E Ramsey Rd 78216 San Antonio USA,TX
San Antonio (Service Center Drive),CenturyLink,San,Texas,United States,"5130 Service Center Dr, Suite 104 78218 San Antonio USA",TX
San Antonio (Taylor Street),VTX1 Companies,San,Texas,United States,"100 Taylor St, Suite 301 78205 San Antonio USA",TX
San Antonio (Walsh Road),VTX1 Companies,San,Texas,United States,2675 Walsh Rd 78224 San Antonio USA,TX
San Antonio 1,CyrusOne,San,Texas,United States,Westover Hills Boulevard 9999 78251 San Antonio United States,TX
San Antonio 2,CyrusOne,San,Texas,United States,Westover Hills Boulevard 9554 78251 San Antonio United States,TX
San Antonio 2 - Westover Hills,Stream Data Centers,San,Texas,United States,9550 Westover Hills Blvd 78251 San Antonio USA,TX
San Clemente,NDC Host,San,California,United States,1009 Calle Sombra 92673-6244 San Clemente USA,CA
San Diego,EdgeConneX,Diego,California,United States,"5761 Copley Drive, Suite B CA 92111 San Diego United States",CA
San Diego,XO Communications,San,California,United States,"5771 Copley Dr, 1st floor 92111-7912 San Diego USA",CA
San Diego,I2B Networks,San,California,United States,8830 Complex Dr 92123 San Diego USA,CA
San Diego,BBG Communications,San,California,United States,3180 University Ave 92104 San Diego USA,CA
San Diego,Brookfield Infrastructure Partners LP,San,California,United States,5732 Pacific Center Blvd 92121 San Diego USA,CA
San Diego (Aero Drive),CenturyLink,San,California,United States,8829 Aero Dr 92123 San Diego USA,CA
San Diego (B Street),Cogent Communications Inc.,San,California,United States,535 B St 92101 San Diego USA,CA
San Diego (Town Centre Drive),Cogent Communications Inc.,San,California,United States,9530 Towne Centre Dr 92121 San Diego USA,CA
San Diego Supercomputer Center - UCSD,The Regents of the University of California,San,California,United States,10100 Hopkins Dr 92121 San Diego USA,CA
San Diego Tech Center,American Internet Services (AIS),San,California,United States,9725 Scranton Road 92121 San Diego United States,CA
San Francisco,fifteenfortyseven Critical Systems Realty (1547),San,California,United States,400 Paul Ave 94124-3125 San Francisco USA,CA
San Francisco,CenturyLink,San,California,United States,"200 Paul Ave, Suite 401 94124 San Francisco USA",CA
San Francisco,Atlantic.Net,Santa,California,United States,2820 Northwestern Pkwy 95051-0904 Santa Clara USA,CA
San Francisco (Brannan St.),XO Communications,San,California,United States,"651 Brannan St, 3rd floor 94107-1535 San Francisco USA",CA
San Francisco 2,Digital Ocean,San,California,United States,N/A 94103 San Francisco United States,CA
San Francisco DC 1,Colocation America,San,California,United States,"200 Paul St., suite 400 94110 San Francisco United States",CA
San Jose,Dimension Data,San,California,United States,5201 Great America Pkwy 95054 San Jose United States,CA
San Jose,H5 Data Center,San,California,United States,2030 Fortune Dr 95131-1835 San Jose USA,CA
San Jose,Evocative,San,California,United States,534 Stockton Ave 95126-2430 San Jose USA,CA
San Jose,ColoCrossing,San,California,United States,55 S Market St 95113 San Jose USA,CA
San Jose,Brookfield Infrastructure Partners LP,San,California,United States,400 Holger Way 95134-1368 San Jose USA,CA
San Jose (Silicon Valley),Hurricane Electric,San,California,United States,"55 South Market, Suite 205 95113 San Jose United States",CA
San Jose 1,Zenlayer,San,California,United States,9 Great Oaks Blvd 95119 San Jose USA,CA
San Jose Live / Shopping Mall Colo,Datapipe,San,California,United States,150 S 1st St 95113 San Jose United States,CA
San Luis Obispo,H5 Data Center,San,California,United States,3610 Sacramento Dr 93401 San Luis Obispo USA,CA
San Marcos,Grande Communications Networks LLC,San,Texas,United States,401 Carlson Cir 78666-6730 San Marcos USA,TX
San Ramon Workgroup,Sungard,Ramon,California,United States,2481 Deerwood Dr CA 94583 San Ramon United States,CA
Santa Ana,XO Communications,Santa,California,United States,1924 E Deere Ave 92705-5723 Santa Ana USA,CA
Santa Barbara,Impulse Advanced Communications,Santa,California,United States,104 West Anapamu Street 93101 Santa Barbara United States,CA
Santa Clara,INAP (Internap Corporation),Santa,California,United States,2151 Mission College Boulevard 95054 Santa Clara United States,CA
Santa Clara,Terremark,Santa,California,United States,3030 Corvin Dr 95051 Santa Clara United States,CA
Santa Clara,Electric Lightwave,Santa,California,United States,3075 Raymond St 95054-3431 Santa Clara USA,CA
Santa Clara,EdgeConneX,Santa,California,United States,1700 Richard Ave 95050-2851 Santa Clara USA,CA
Santa Clara,vXchnge,Santa,California,United States,2050 Martin Ave 95050-2702 Santa Clara USA,CA
Santa Clara,Verizon,Newark,California,United States,39800 Eureka Dr 94560-4809 Newark USA,CA
Santa Clara 1,Quality Technology Services (QTS),Santa,California,United States,2807 Mission College Blvd 95054 Santa Clara United States,CA
Santa Clara 2,Quality Technology Services (QTS),Blvd,California,United States,2805 Mission College Blvd CA 95054 Santa Clara United States,CA
Santa Clara 2,Stream Data Centers,Santa,California,United States,1350 Duane Ave 95054-3413 Santa Clara USA,CA
Santa Clara 3,Stream Data Centers,Santa,California,United States,870 Duane Ave 95054-3410 Santa Clara USA,CA
Santa Clara 4,Stream Data Centers,Santa,California,United States,3075 Raymond St 95054-3431 Santa Clara USA,CA
Santa Clara 6,Stream Data Centers,Santa,California,United States,3011 Lafayette St 95054-3438 Santa Clara USA,CA
Santa Clara Campus II,Vantage Data Centers,Santa,California,United States,737 Mathew St 95050 Santa Clara USA,CA
"Santa Clara, CA",ServerFarm,Clara,California,United States,5101 Lafayette St CA 95054 Santa Clara United States,CA
Sargasso Networks,Sargasso Networks Inc.,New,New York,United States,60 Hudson Street 10013 New York United States,NY
Savvis CH,Cyxtera,Rd.,Illinois,United States,2425 Busse Rd. IL 60007 Elk Grove Village United States,IL
SBP1,"Digital West Networks, Inc.",San,California,United States,3620 Sacramento Dr Suite 102 93401 San Luis Obispo United States,CA
SCG Services,DataCenter.BZ,Worthington,Ohio,United States,535 Scherers Court 43085 Worthington United States,OH
Schaumburg,CBRE,Road,Illinois,United States,1299 Algonquin Road IL Schaumburg United States,IL
Scott Data Center,Scott Technology Center,Omaha,Nebraska,United States,6825 Pine St. 68106 Omaha United States,NE
Scottsdale,Iron Mountain,Scottsdale,Arizona,United States,8521 E Princess Dr 85255 Scottsdale USA,AZ
Scottsdale Data Center,Sungard,#108,Arizona,United States,"7499 E Paradise Ln., #108 AZ 85260 Scottsdale United States",AZ
Seattle,WorldLink Internet Services,Tukwila,Washington,United States,1300 SW 7th St Suite 112 98057 Tukwila United States,WA
Seattle,EdgeConneX,Seattle,Washington,United States,"3425 116th Street Building 6, Suite 133 WA 98168 Seattle United States",WA
Seattle,CenturyLink,Seattle,,United States,"1000 Denny Way, 4th Floor 9810 Seattle United States",WA
Seattle,Equinix,Kent,Washington,United States,6906 S 204th St 98032-1321 Kent USA,WA
Seattle,H5 Data Center,Seattle,Washington,United States,1000 Denny Way 98109 Seattle USA,WA
Seattle,TierPoint,Seattle,Washington,United States,"140 4th Ave N, Suite 360 98109 Seattle USA",WA
Seattle,ColoCrossing,Tukwila,Washington,United States,12201 Tukwila International Blvd 98168 Tukwila USA,WA
Seattle,Brookfield Infrastructure Partners LP,Lynnwood,Washington,United States,17300 WA-99 98037-3142 Lynnwood USA,WA
Seattle (32nd Avenue),Cogent Communications Inc.,Federal,Washington,United States,32275 32nd Ave S 98001 Federal Way USA,WA
Seattle (6th Avenue),CenturyLink,Seattle,Washington,United States,"2001 6th Ave, 15 floor 98121 Seattle USA",WA
Seattle (Second Ave.),XO Communications,Seattle,Washington,United States,"1100 2nd Ave, 1st floor 98101 Seattle USA",WA
Seattle 1,INAP (Internap Corporation),Seattle,Washington,United States,140 4th Avenue North 98109 Seattle United States,WA
Seattle 1,Zenlayer,Tukwila,Washington,United States,"3433 S 120th Pl, Integrate East Building 4 98168-5135 Tukwila USA",WA
Seattle 2,INAP (Internap Corporation),Place,Washington,United States,3355 S. 120th Place WA 98168 Tukwila United States,WA
Seattle 2 (Fifth Avenue),Equinix,Seattle,Washington,United States,"2020 5th Ave, floor 5 98121-2505 Seattle USA",WA
Seattle 3,Equinix,8/F,Washington,United States,"1919 5th Ave Seattle, 5/F, 6/F, 7/F, 8/F WA 98101 Seattle United States",WA
Seattle 4,Equinix,Kent,Washington,United States,S 204th St 6906 98032 Kent United States,WA
Secaucus,Unknown,Secaucus,New Jersey,United States,15 Enterprise Ave 07094 Secaucus United States,NJ
Secaucus,INAP (Internap Corporation),Secaucus,New Jersey,United States,755 Secaucus Rd 07094 Secaucus USA,NJ
Secaucus,vXchnge,Secaucus,New Jersey,United States,200 Meadowlands Pkwy 07094 Secaucus USA,NJ
Secured Network Services,Secured Network Services (SNS),Norwood,Massachusetts,United States,1500 Providence Highway 02062 Norwood United States,MA
Server Central Chicago,Server Central,Chicago,Illinois,United States,350 East Cermak Road 60623 Chicago United States,IL
Server Corps,Server Corps,Mobile,Alabama,United States,307 N. University Blvd. 36688 Mobile United States,AL
ServerPhase Data Center,ServerPhase,Carrollton,Texas,United States,2045 Chenault Drive 75006 Carrollton United States,TX
ServOnDemand,ServOnDemand,Southfield,Michigan,United States,21420 Melrose Ave. 48075 Southfield United States,MI
Sharp Annex,Nebraska Data Centers,Lincoln,Nebraska,United States,200 S 13th St 68508 Lincoln USA,NE
Shatter I.T.,Shatter I.T.,Buffalo,New York,United States,10 Lafayette Square 14203 Buffalo United States,NY
Shatter I.T. Buffalo 2,Shatter I.T.,Buffalo,New York,United States,350 Main 14202 Buffalo United States,NY
Sierra Data Center,Sierra Data Center,Pittsburgh,Pennsylvania,United States,322 Fourth Ave Suite 800 15222 Pittsburgh United States,PA
Silicon Valley,Fortune Data Centers,San,California,United States,2001 Fortune Drive 95131 San Jose United States,CA
Silicon Valley,Infomart,San,California,United States,2001 Fortune Dr 95131-1824 San Jose USA,CA
Silicon Valley 1,CoreSite,San,California,United States,"55 S. Market Street, Suite 440 95113 San Jose United States",CA
Silicon Valley 1,Equinix,San,California,United States,11 Great Oaks Blvd 95119-1242 San Jose United States,CA
Silicon Valley 10,Equinix,San,California,United States,Great Oaks Blvd 7 95119 San Jose United States,CA
Silicon Valley 13,Equinix,San,California,United States,"Fortune Dr 2030, Suite 130 95131 San Jose United States",CA
Silicon Valley 14,Equinix,Santa,California,United States,"2960 Corvin Dr, Pod D 95051 Santa Clara USA",CA
Silicon Valley 15,Equinix,Santa,California,United States,"Corvin Dr 2970, Pod C 95051 Santa Clara United States",CA
Silicon Valley 16,Equinix,Santa,California,United States,"Corvin Dr 3000, Pod B 95051 Santa Clara United States",CA
Silicon Valley 17,Equinix,Santa,California,United States,"Corvin Dr 3030, Pod A 95051 Santa Clara United States",CA
Silicon Valley 2,CoreSite,Milpitas,California,United States,1656 McCarthy Blvd. 95035 Milpitas United States,CA
Silicon Valley 2,Equinix,Santa,California,United States,1350 Duane Ave 95054-3413 Santa Clara USA,CA
Silicon Valley 3,CoreSite,Drive,California,United States,3001 Coronado Drive CA 95054 Santa Clara United States,CA
Silicon Valley 4,Equinix,Sunnyvale,California,United States,255 Caspian Dr 94089 Sunnyvale United States,CA
Silicon Valley 4,CoreSite,Way,California,United States,2972 Stender Way CA Santa Clara United States,CA
Silicon Valley 5,Equinix,Oaks,California,United States,9 Great Oaks CA 95119 San Jose United States,CA
Silicon Valley 5,CoreSite,Santa,California,United States,2901 Coronado Drive 95054 Santa Clara United States,CA
Silicon Valley 6,Equinix,Sunnyvale,California,United States,444 Toyoma Drive 94089 Sunnyvale United States,CA
Silicon Valley 6,CoreSite,Santa,California,United States,3020 Coronado Dr 95054 Santa Clara USA,CA
Silicon Valley 7,CoreSite,Santa,California,United States,2900 Stender Way 95054-3213 Santa Clara USA,CA
Silicon Valley 8,Equinix,Palo,California,United States,529 Bryant Street 94301 Palo Alto United States,CA
"Silver Spring, MD",Agile,Silver,Maryland,United States,2240 Broadbirch Dr 20904-1931 Silver Spring USA,MD
SimpleNet Colo,SimpleNet,San,California,United States,225 Broadway 92101 San Diego United States,CA
Simply Bits Vault,Simply Bits,Tucson,Arizona,United States,5225 N. Sabino Canyon 85750 Tucson United States,AZ
Sioux Falls-East,TierPoint,Sioux,South Dakota,United States,700 East 54th St N 57104 Sioux Falls USA,SD
Sioux Falls-West,TierPoint,Sioux,South Dakota,United States,5300 N La Mesa Dr 57107 Sioux Falls USA,SD
Sitco Data Center,Sitco,Evansville,Indiana,United States,4631 OHara Drive 47711 Evansville United States,IN
SLC Delong,CenturyLink,Salt,Utah,United States,572 South Delong Street 84104 Salt Lake City United States,UT
Slidell,EdgeConneX,Slidell,Louisiana,United States,2070 Gause Blvd E 70461 Slidell USA,LA
Smart City Data Center,Smart City,Orlando,Florida,United States,"1101 N. Keller Road, Suite B 32810 Orlando United States",FL
SMH Colocation Data Center,SMH Colocation,Anaheim,California,United States,Secret location 92801 Anaheim United States,CA
Smith and Hammaker,Smith and Hammaker,Knoxville,Tennessee,United States,133 N Broadway 37917-7502 Knoxville United States,TN
Smyrna Workgroup,Sungard,Smyrna,Georgia,United States,5600 United Dr SE GA 30082 Smyrna United States,GA
Sohonet North America,Sohonet Ltd,Los,California,United States,12950 Culver Blvd 90066 Los Angeles USA,CA
SolutionPro Boise Idaho,SolutionPro,Boise,Idaho,United States,1450 Eagle Flight Way 83709 Boise United States,ID
Somerset,CyrusOne,Somerset,New Jersey,United States,Cottontail Ln 800 08873 Somerset United States,NJ
Somerset,OneNeck,Drive,New Jersey,United States,125 Belmont Drive NJ 08873 Somerset United States,NJ
Somerset Data Center,Carter Validus Mission Critical REIT,Somerset,New Jersey,United States,200 Campus Dr 08873-1149 Somerset USA,NJ
Somerville,Cambridge Network Solutions,Somerville,Massachusetts,United States,35 McGrath Highway 02143 Somerville United States,MA
South Lake Data Center,DataBank,Boulevard,Kansas,United States,15721 College Boulevard KS 66219 Lenexa United States,KS
South Seattle,Digital Fortress,Seattle,Washington,United States,12101 Tukwila International Blvd 98168-2569 Seattle USA,WA
Southfield,TelNet Worldwide (TelNet),Road,Michigan,United States,21005 Lahser Road MI 48033 Southfield United States,MI
Southfield,123 NET,Southfield,Michigan,United States,24275 Northwestern Hwy. 48075 Southfield United States,MI
Southfield,Nexcess,tbc,Michigan,United States,tbc MI 48075 Southfield United States,MI
Spectra Access Data Center,Spectra Access,Manchester,New Hampshire,United States,27 Lowell Street 03101 Manchester United States,NH
Spirit Telecom Data Center,Spirit Communications,Columbia,South Carolina,United States,1500 Hampton St. 29201 Columbia United States,SC
Spokane,TierPoint,Liberty,Washington,United States,23403 E Mission Ave 99019 Liberty Lake United States,WA
Spokane,OneEighty Networks,Spokane,Washington,United States,118 N. Stevens St 99201 Spokane United States,WA
Spokane,XO Communications,Spokane,Washington,United States,"155 S Stevens St, 2nd floor 99201 Spokane USA",WA
SpringNet Underground,SpringNet,Springfield,Missouri,United States,301 East Central 65802 Springfield United States,MO
Springs Hosting Data Center,Springs Hosting,Colorado,Colorado,United States,1205 Shasta Dr. 80910 Colorado Springs United States,CO
Sprint Pennsauken,Sprint,Pennsauken,New Jersey,United States,4101 Maple Avenue 08109 Pennsauken United States,NJ
SSAE 16 Compliant Data Center,NetStandard,Kansas,Kansas,United States,2000 Merriam Lane 66106 Kansas City United States,KS
St. Louis,vXchnge,#610,Missouri,United States,710 N Tucker Blvd #610 MO 63101 St. Louis United States,MO
St. Louis,CenturyLink,St.,Missouri,United States,1015 Locust Street 63101 St. Louis United States,MO
St. Louis (Walnut St.),XO Communications,Philadelphia,Pennsylvania,United States,"900 Walnut St, 2nd floor 19147-3905 Philadelphia USA",PA
St. Louis-Olive,TierPoint,St.,Missouri,United States,1111 Olive St 63101-1908 St. Louis USA,MO
St. Louis-Walnut,TierPoint,St.,Missouri,United States,900 Walnut St 63102 St. Louis USA,MO
St. Paul,vXchnge,Paul,Minnesota,United States,1125 Energy Park Dr 55108-5032 St Paul USA,MN
St. Paul Workgroup,Sungard,Saint,Minnesota,United States,Fairview Ave N 605 55104 Saint Paul United States,MN
Stafford Assoicates Data Center,Stafford Associates,Setauket,New York,United States,21 Bennetts Road 11733 Setauket United States,NY
Stamford,CyrusOne,Stamford,Connecticut,United States,Riverbend Dr S 10 06907 Stamford United States,CT
Stamford,CenturyLink,Stamford,Connecticut,United States,21 Harborview Ave 06902 Stamford United States,CT
State College,"Windstream Services, LLC",State,Pennsylvania,United States,441 Science Park Rd 16803-2217 State College USA,PA
SteelVault OX-1,SteelVault,Oxford,Connecticut,United States,66 Hawley Rd. 06478 Oxford United States,CT
Sterling,Amazon,tbc,Virginia,United States,tbc VA Sterling United States,VA
Sterling 1,CyrusOne,Sterling,District of Columbia,United States,21111 Ridgetop Cir 20166 Sterling USA,DC
Sterling 2,CyrusOne,Sterling,District of Columbia,United States,21111 Ridgetop Cir 20166 Sterling USA,DC
Sterling 4,CyrusOne,Sterling,District of Columbia,United States,International Dr 22811 20116 Sterling United States,DC
Sterling 4,CyrusOne,Sterling,District of Columbia,United States,511 Shaw Rd 20166-9402 Sterling USA,DC
Sterling 5,CyrusOne,Sterling,District of Columbia,United States,Pacific Blvd 21350 20166 Sterling United States,DC
Stone Mountain Data Complex,Stone Mountain,Olive,Kentucky,United States,235 A Tom T. Hall Blvd. 41164 Olive Hill United States,KY
StoweVT,Power Shift,Stowe,Vermont,United States,571 south main ST 05672 Stowe United States,VT
StratITsphere - Alpha,StratITsphere,Katy,Texas,United States,1510 Primewest Parkway 77449 Katy United States,TX
StratITsphere - Echo,StratITsphere,Houston,Texas,United States,10555 Cossey Road 77070 Houston United States,TX
Sunnyvale,CenturyLink,Sunnyvale,California,United States,1380 Kifer Rd 94086-5305 Sunnyvale USA,CA
Sunnyvale Data Center,Carter Validus Mission Critical REIT,Sunnyvale,California,United States,1400 Kifer Rd 94086-5306 Sunnyvale USA,CA
Suwanee,Quality Technology Services (QTS),Suwanee,Georgia,United States,300 Satellite Blvd NW 30024 Suwanee United States,GA
SVCOLO (Sunnyvale),"Silicon Valley Colocation, Inc.",Sunnyvale,New York,United States,94089 Sunnyvale United States 14085412009,NY
SVCOLO Santa Clara,SVCOLO,Santa,California,United States,1700 Richard Avenue 95050 Santa Clara United States,CA
SVCOLO Santa Clara,"Silicon Valley Colocation, Inc.",Clara,New York,United States,95050 Santa Clara United States 14085412009,NY
SVCOLO Sunnyvale,SVCOLO,Sunnyvale,California,United States,1111 Karlstad 94089 Sunnyvale United States,CA
SVTIX Data Center,SVTIX,San,California,United States,250 Stockton Ave 95126 San Jose United States,CA
SVTIX San Jose,Silicon Valley Telecom & Internet Exchange,San,California,United States,250 Stockton Avenue 95126 San Jose United States,CA
Synergy Broadband State Street,Synergy Broadband,Ann,Michigan,United States,3131 S. State Suite 306 48108 Ann Arbor United States,MI
Synergy Park,Flexential,Pkwy,Texas,United States,3010 Waterview Pkwy TX 75080 Richardson United States,TX
Syptec - Phoenix,Syptec,Phoenix,Arizona,United States,302 N 3rd Ave 85003 Phoenix United States,AZ
Syptec - Salt Lake City,Syptec,Salt,Utah,United States,200 S 100 E 84111 Salt Lake City United States,UT
Syptec - Vegas,Syptec,Las,Nevada,United States,302 Carson Street 89101 Las Vegas United States,NV
Syracuse,Navisite,Syracuse,New York,United States,125 Elwood Davis Rd NY 13212 Syracuse United States,NY
Syracuse (South State Street),"Windstream Services, LLC",Syracuse,New York,United States,201 S State St 13202 Syracuse USA,NY
Syracuse (South Warren Street),FirstLight,Syracuse,New York,United States,109 S Warren St 13202-1119 Syracuse USA,NY
T5@Alliace,T5 Data Centers,Gainesville,Texas,United States,76240 Gainesville USA 888.239.7133,TX
T5@Atlanta I,T5 Data Centers,Road,Georgia,United States,3200 Webb Bridge Road GA 30022 Alpharetta United States,GA
T5@Charlotte,T5 Data Centers,Mountain,North Carolina,United States,140 Riverside Ct NC 28086 Kings Mountain United States,NC
T5@Chicago,T5 Data Centers,Elk,Illinois,United States,1441 Touhy Avenue 60007 Elk Grove Village USA,IL
T5@Colorado Springs,T5 Data Centers,Colorado,Colorado,United States,3819 Janitell Rd 80906-4109 Colorado Springs USA,CO
T5@Dallas I,T5 Data Centers,Plano,Texas,United States,6653 Pinecrest Dr TX 75024 Plano United States,TX
T5@Dallas II,T5 Data Centers,Plano,Texas,United States,6653 Pinecrest Dr 75024-2924 Plano USA,TX
T5@Dallas III,T5 Data Centers,Plano,Texas,United States,6653 Pinecrest Dr 75024-2924 Plano USA,TX
T5@LA,T5 Data Centers,Segundo,California,United States,444 N Nash St 90245-2822 El Segundo USA,CA
T5@NY,T5 Data Centers,Briarcliff,New York,United States,600 Albany Post Rd 10510-2427 Briarcliff Manor USA,NY
T5@Portland I,T5 Data Centers,Hillsboro,Nebraska,United States,3145 NE Brookwood Pkwy 97124 Hillsboro USA,NE
T5@Portland II,T5 Data Centers,Hillsboro,Nebraska,United States,3145 NE Brookwood Pkwy 97124 Hillsboro USA,NE
